date,Cough_unscaled,Cough_monthly,isPartial,scale,Cough
2021-07-12,74,39.0,,0.39,28.86
2021-07-13,81,39.0,,0.39,31.59
2021-07-14,76,39.0,,0.39,29.64
2021-07-15,81,39.0,,0.39,31.59
2021-07-16,73,39.0,,0.39,28.470000000000002
2021-07-17,84,39.0,,0.39,32.76
2021-07-18,87,42.0,False,0.42,36.54
2021-07-19,88,42.0,,0.42,36.96
2021-07-20,91,42.0,,0.42,38.22
2021-07-21,93,42.0,,0.42,39.059999999999995
2021-07-22,91,42.0,,0.42,38.22
2021-07-23,100,42.0,,0.42,42.0
2021-07-24,87,42.0,,0.42,36.54
2021-07-25,96,44.0,False,0.44,42.24
2021-07-26,92,44.0,,0.44,40.48
2021-07-27,82,44.0,,0.44,36.08
2021-07-28,96,44.0,,0.44,42.24
2021-07-29,88,44.0,,0.44,38.72
2021-07-30,82,44.0,,0.44,36.08
2021-07-31,94,44.0,,0.44,41.36
2021-08-01,74,43.0,False,0.43,31.82
2021-08-02,84,43.0,,0.43,36.12
2021-08-03,84,43.0,,0.43,36.12
2021-08-04,83,43.0,,0.43,35.69
2021-08-05,81,43.0,,0.43,34.83
2021-08-06,86,43.0,,0.43,36.98
2021-08-07,88,43.0,,0.43,37.839999999999996
2021-08-08,100,47.0,False,0.47,47.0
2021-08-09,81,47.0,,0.47,38.07
2021-08-10,94,47.0,,0.47,44.18
2021-08-11,83,47.0,,0.47,39.01
2021-08-12,85,47.0,,0.47,39.949999999999996
2021-08-13,78,47.0,,0.47,36.66
2021-08-14,80,47.0,,0.47,37.599999999999994
2021-08-15,86,45.0,False,0.45,38.7
2021-08-16,90,45.0,,0.45,40.5
2021-08-17,88,45.0,,0.45,39.6
2021-08-18,91,45.0,,0.45,40.95
2021-08-19,83,45.0,,0.45,37.35
2021-08-20,80,45.0,,0.45,36.0
2021-08-21,92,45.0,,0.45,41.4
2021-08-22,92,48.0,False,0.48,44.16
2021-08-23,93,48.0,,0.48,44.64
2021-08-24,95,48.0,,0.48,45.6
2021-08-25,87,48.0,,0.48,41.76
2021-08-26,92,48.0,,0.48,44.16
2021-08-27,90,48.0,,0.48,43.199999999999996
2021-08-28,98,48.0,,0.48,47.04
2021-08-29,88,48.0,False,0.48,42.239999999999995
2021-08-30,89,48.0,,0.48,42.72
2021-08-31,90,48.0,,0.48,43.199999999999996
2021-09-01,94,48.0,,0.48,45.12
2021-09-02,84,48.0,,0.48,40.32
2021-09-03,100,48.0,,0.48,48.0
2021-09-04,92,48.0,,0.48,44.16
2021-09-05,88,48.0,False,0.48,42.239999999999995
2021-09-06,94,48.0,,0.48,45.12
2021-09-07,91,48.0,,0.48,43.68
2021-09-08,90,48.0,,0.48,43.199999999999996
2021-09-09,84,48.0,,0.48,40.32
2021-09-10,100,48.0,,0.48,48.0
2021-09-11,86,48.0,,0.48,41.28
2021-09-12,85,47.0,False,0.47,39.949999999999996
2021-09-13,100,47.0,,0.47,47.0
2021-09-14,89,47.0,,0.47,41.83
2021-09-15,83,47.0,,0.47,39.01
2021-09-16,88,47.0,,0.47,41.36
2021-09-17,88,47.0,,0.47,41.36
2021-09-18,94,47.0,,0.47,44.18
2021-09-19,80,47.0,False,0.47,37.599999999999994
2021-09-20,91,47.0,,0.47,42.769999999999996
2021-09-21,95,47.0,,0.47,44.65
2021-09-22,100,47.0,,0.47,47.0
2021-09-23,88,47.0,,0.47,41.36
2021-09-24,90,47.0,,0.47,42.3
2021-09-25,85,47.0,,0.47,39.949999999999996
2021-09-26,88,46.0,False,0.46,40.480000000000004
2021-09-27,98,46.0,,0.46,45.080000000000005
2021-09-28,89,46.0,,0.46,40.940000000000005
2021-09-29,87,46.0,,0.46,40.02
2021-09-30,100,46.0,,0.46,46.0
2021-10-01,100,46.0,,0.46,46.0
2021-10-02,99,46.0,,0.46,45.54
2021-10-03,90,41.0,False,0.41,36.9
2021-10-04,96,41.0,,0.41,39.36
2021-10-05,86,41.0,,0.41,35.26
2021-10-06,72,41.0,,0.41,29.52
2021-10-07,76,41.0,,0.41,31.159999999999997
2021-10-08,72,41.0,,0.41,29.52
2021-10-09,86,41.0,,0.41,35.26
2021-10-10,71,38.0,False,0.38,26.98
2021-10-11,84,38.0,,0.38,31.92
2021-10-12,83,38.0,,0.38,31.54
2021-10-13,84,38.0,,0.38,31.92
2021-10-14,82,38.0,,0.38,31.16
2021-10-15,74,38.0,,0.38,28.12
2021-10-16,83,38.0,,0.38,31.54
2021-10-17,74,39.0,False,0.39,28.86
2021-10-18,76,39.0,,0.39,29.64
2021-10-19,76,39.0,,0.39,29.64
2021-10-20,82,39.0,,0.39,31.98
2021-10-21,88,39.0,,0.39,34.32
2021-10-22,76,39.0,,0.39,29.64
2021-10-23,83,39.0,,0.39,32.370000000000005
2021-10-24,81,40.0,False,0.4,32.4
2021-10-25,89,40.0,,0.4,35.6
2021-10-26,84,40.0,,0.4,33.6
2021-10-27,84,40.0,,0.4,33.6
2021-10-28,76,40.0,,0.4,30.400000000000002
2021-10-29,72,40.0,,0.4,28.8
2021-10-30,77,40.0,,0.4,30.8
2021-10-31,84,40.0,False,0.4,33.6
2021-11-01,76,40.0,,0.4,30.400000000000002
2021-11-02,76,40.0,,0.4,30.400000000000002
2021-11-03,76,40.0,,0.4,30.400000000000002
2021-11-04,87,40.0,,0.4,34.800000000000004
2021-11-05,82,40.0,,0.4,32.800000000000004
2021-11-06,89,40.0,,0.4,35.6
2021-11-07,82,45.0,False,0.45,36.9
2021-11-08,82,45.0,,0.45,36.9
2021-11-09,100,45.0,,0.45,45.0
2021-11-10,88,45.0,,0.45,39.6
2021-11-11,83,45.0,,0.45,37.35
2021-11-12,89,45.0,,0.45,40.050000000000004
2021-11-13,89,45.0,,0.45,40.050000000000004
2021-11-14,90,44.0,False,0.44,39.6
2021-11-15,95,44.0,,0.44,41.8
2021-11-16,91,44.0,,0.44,40.04
2021-11-17,83,44.0,,0.44,36.52
2021-11-18,87,44.0,,0.44,38.28
2021-11-19,88,44.0,,0.44,38.72
2021-11-20,95,44.0,,0.44,41.8
2021-11-21,94,47.0,False,0.47,44.18
2021-11-22,89,47.0,,0.47,41.83
2021-11-23,93,47.0,,0.47,43.71
2021-11-24,96,47.0,,0.47,45.12
2021-11-25,86,47.0,,0.47,40.419999999999995
2021-11-26,79,47.0,,0.47,37.129999999999995
2021-11-27,89,47.0,,0.47,41.83
2021-11-28,97,46.0,False,0.46,44.620000000000005
2021-11-29,89,46.0,,0.46,40.940000000000005
2021-11-30,92,46.0,,0.46,42.32
2021-12-01,91,46.0,,0.46,41.86
2021-12-02,95,46.0,,0.46,43.7
2021-12-03,89,46.0,,0.46,40.940000000000005
2021-12-04,93,46.0,,0.46,42.78
2021-12-05,85,45.0,False,0.45,38.25
2021-12-06,94,45.0,,0.45,42.300000000000004
2021-12-07,100,45.0,,0.45,45.0
2021-12-08,87,45.0,,0.45,39.15
2021-12-09,80,45.0,,0.45,36.0
2021-12-10,81,45.0,,0.45,36.45
2021-12-11,91,45.0,,0.45,40.95
2021-12-12,99,46.0,True,0.46,45.54
2021-12-13,98,46.0,,0.46,45.080000000000005
2021-12-14,93,46.0,,0.46,42.78
2021-12-15,95,46.0,,0.46,43.7
2021-12-16,83,46.0,,0.46,38.18
2021-12-17,80,46.0,,0.46,36.800000000000004
